"CATEGORY","CREATEDAT","DESCRIPTION","ID","IMAGEURL","NAME","PRICE","STOCK","UPDATEDAT"
"小家具-テーブル","2026-06-27T11:08:36","【中古】家族用セット。テーブル天板に使用感。","21","/api/files/product-fa-21.png","ダイニングセット 4点（テーブル+椅子3）","18500","1","2026-06-27T11:08:36"
"小家具-テーブル","2026-06-27T11:08:36","【中古】子供部屋から出品。棚板調整可能。","22","/api/files/product-fa-22.png","ラック付き学習机","7200","1","2026-06-27T11:08:36"
"小家具-ベッド","2026-06-27T11:08:36","【中古】ベッド展開確認済。布地に経年感。","23","/api/files/product-fa-23.png","ソファベッド 3人掛け","16800","1","2026-06-27T11:08:36"
"生活雑貨-収納","2026-06-27T11:08:36","【中古】玄関収納。組み立て説明書付き。","24","/api/files/product-fa-24.png","シューズラック 10段","1500","1","2026-06-27T11:08:36"
"家電-電子レンジ","2026-06-27T11:08:36","【中古】2022年製。加熱・庫内灯正常。清掃済み。","25","/api/files/product-fa-25.png","電子レンジ 20L 単機能","6800","1","2026-06-27T11:08:36"
"家電-炊飯器","2026-06-27T11:08:36","【中古】内釜コーティング良好。付属しゃもじ・計量カップ付。","26","/api/files/product-fa-26.png","炊飯器 5.5合 圧力IH","8500","1","2026-06-27T11:08:36"
"家電-掃除機","2026-06-27T11:08:36","【中古】バッテリー30分稼働。フィルター洗浄済。","27","/api/files/product-fa-27.png","コードレス掃除機 スティック型","12000","1","2026-06-27T11:08:36"
"家電-その他","2026-06-27T11:08:36","【中古】フィルター残量約70%。静音モード確認済。","28","/api/files/product-fa-28.png","空気清浄機 〜20畳","9800","1","2026-06-27T11:08:36"
"生活雑貨-キッチン小物","2026-06-27T11:08:36","【中古】沸き上がり速い。内側水垢除去済。","29","/api/files/product-fa-29.png","電気ケトル 1.7L ステンレス","1500","1","2026-06-27T11:08:36"
"生活雑貨-キッチン小物","2026-06-27T11:08:36","【中古】温度調整ダイヤル正常。crumb トレイ付。","30","/api/files/product-fa-30.png","トースター 2枚焼き","2800","1","2026-06-27T11:08:36"
"生活雑貨-その他","2026-06-27T11:08:36","【中古】リモコン付き。首振り・タイマー動作OK。","31","/api/files/product-fa-31.png","扇風機 リビング用 DCモーター","3200","1","2026-06-27T11:08:36"
"生活雑貨-その他","2026-06-27T11:08:36","【中古】冬場に使用。除菌済み・静音設計。","32","/api/files/product-fa-32.png","加湿器 2.5L 超音波","2400","1","2026-06-27T11:08:36"
"生活雑貨-清掃","2026-06-27T11:08:36","【中古】スチーム噴出確認済。水タンク付。","33","/api/files/product-fa-33.png","スチームアイロン コードレス","1900","1","2026-06-27T11:08:36"
"生活雑貨-キッチン小物","2026-06-27T11:08:36","【中古】氷も砕けるパワー。刃・容器洗浄済。","34","/api/files/product-fa-34.png","ミキサー 1.5L 1000W","3500","1","2026-06-27T11:08:36"
"生活雑貨-キッチン小物","2026-06-27T11:08:36","【中古】タイマー機能付。ガラスポット無傷。","35","/api/files/product-fa-35.png","コーヒーメーカー ドリップ式","4200","1","2026-06-27T11:08:36"
"生活雑貨-キッチン小物","2026-06-27T11:08:36","【中古】煮込み・低温調理対応。パッキン交換済。","36","/api/files/product-fa-36.png","電気圧力鍋 5L","7800","1","2026-06-27T11:08:36"
"生活雑貨-キッチン小物","2026-06-27T11:08:36","【中古】一人暮らし向け。卓上・過熱保護正常。","37","/api/files/product-fa-37.png","IHクッキングヒーター 1口","4500","1","2026-06-27T11:08:36"
"生活雑貨-その他","2026-06-27T11:08:36","【中古】洗濯可能タイプ。温度調整2段階。","38","/api/files/product-fa-38.png","電気毛布 シングル","2600","1","2026-06-27T11:08:36"
"生活雑貨-清掃","2026-06-27T11:08:36","【中古】風量3段階。ノズル付属。","39","/api/files/product-fa-39.png","ヘアドライヤー 大風量 イオン","2100","1","2026-06-27T11:08:36"
"家電-その他","2026-06-27T11:08:36","【中古】2〜3人分。給排水ホース付き。","40","/api/files/product-fa-40.png","卓上食器洗い乾燥機","8900","1","2026-06-27T11:08:36"
"家電-その他","2026-06-27T11:08:36","【中古】梅雨時に使用。タンク・フィルター清掃済。","41","/api/files/product-fa-41.png","除湿機 コンプレッサー式 14L","11500","1","2026-06-27T11:08:36"
"生活雑貨-キッチン小物","2026-06-27T11:08:36","【中古】再沸騰・ロック機能正常。","42","/api/files/product-fa-42.png","電気ポット 3L 保温付","2300","1","2026-06-27T11:08:36"
"生活雑貨-キッチン小物","2026-06-27T11:08:36","【中古】プレート剥離なし。コード収納可。","43","/api/files/product-fa-43.png","ホットサンドメーカー ダブル","1200","1","2026-06-27T11:08:36"
"生活雑貨-清掃","2026-06-27T11:08:36","【中古】UV・温風機能。ダニ対策に。","44","/api/files/product-fa-44.png","布団クリーナー ハンディ","5200","1","2026-06-27T11:08:36"
"家電-冷蔵庫","2026-06-27T11:08:36","【中古】2021年製。霜取り確認済。内部清掃済。","45","/api/files/product-fa-45.png","冷蔵庫 2ドア 150L","14500","1","2026-06-27T11:08:36"
"家電-洗濯機","2026-06-27T11:08:36","【中古】単身者向け。給排水ホース・説明書付。","46","/api/files/product-fa-46.png","洗濯機 6kg ドラム式","28000","1","2026-06-27T11:08:36"
"生活雑貨-キッチン小物","2026-06-27T11:08:36","【中古】グリル・convection 機能。トレイ付。","47","/api/files/product-fa-47.png","電気オーブントースター 25L","5600","1","2026-06-27T11:08:36"
"家電-エアコン","2026-06-27T11:08:36","【中古】2020年製。冷暖房・除湿動作確認済。","48","/api/files/product-fa-48.png","ルームエアコン 2.2kW 6畳","22000","1","2026-06-27T11:08:36"
"生活雑貨-キッチン小物","2026-06-27T11:08:36","【中古】新生活セット。両方動作確認済。","49","/api/files/product-fa-49.png","電気ケトル＋トースター セット","3800","1","2026-06-27T11:08:36"
